Date,US Field Production of Crude Oil (Thousand Barrels),US Crude Oil First Purchase Price (Dollars per Barrel)
Mar-1952,197121,
Apr-1952,192936,
May-1952,157748,
Jun-1952,185692,
Jul-1952,188985,
Aug-1952,192768,
Sep-1952,195603,
Oct-1952,201581,
Nov-1952,193832,
Dec-1952,205904,
Jan-1953,203211,
Feb-1953,183183,
Mar-1953,202024,
Apr-1953,191953,
May-1953,198117,
Jun-1953,197630,
Jul-1953,204711,
Aug-1953,204490,
Sep-1953,196571,
Oct-1953,193726,
Nov-1953,188116,
Dec-1953,193350,
Jan-1954,193437,
Feb-1954,178644,
Mar-1954,201763,
Apr-1954,198502,
May-1954,200627,
Jun-1954,194974,
Jul-1954,194098,
Aug-1954,190388,
Sep-1954,184325,
Oct-1954,189724,
Nov-1954,190372,
Dec-1954,198134,
Jan-1955,209601,
Feb-1955,191342,
Mar-1955,213453,
Apr-1955,206668,
May-1955,207067,
Jun-1955,197844,
Jul-1955,205614,
Aug-1955,206619,
Sep-1955,202037,
Oct-1955,211866,
Nov-1955,210454,
Dec-1955,221863,
Jan-1956,223125,
Feb-1956,209078,
Mar-1956,225645,
Apr-1956,214412,
May-1956,218942,
Jun-1956,213010,
Jul-1956,219770,
Aug-1956,223035,
Sep-1956,211585,
Oct-1956,215570,
Nov-1956,214438,
Dec-1956,228673,
Jan-1957,231631,
Feb-1957,214967,
Mar-1957,238490,
Apr-1957,226392,
May-1957,230466,
Jun-1957,213302,
Jul-1957,212781,
Aug-1957,210150,
Sep-1957,206777,
Oct-1957,212055,
Nov-1957,205249,
Dec-1957,214641,
Jan-1958,213280,
Feb-1958,190947,
Mar-1958,194580,
Apr-1958,189014,
May-1958,193205,
Jun-1958,190172,
Jul-1958,203701,
Aug-1958,215030,
Sep-1958,212642,
Oct-1958,215887,
Nov-1958,209252,
Dec-1958,221277,
Jan-1959,223926,
Feb-1959,201435,
Mar-1959,222839,
Apr-1959,217685,
May-1959,223806,
Jun-1959,212489,
Jul-1959,210311,
Aug-1959,209733,
Sep-1959,205700,
Oct-1959,214248,
Nov-1959,209449,
Dec-1959,222969,
Jan-1960,224140,
Feb-1960,209986,
Mar-1960,220977,
Apr-1960,211132,
May-1960,212296,
Jun-1960,208161,
Jul-1960,212645,
Aug-1960,215145,
Sep-1960,209119,
Oct-1960,215687,
Nov-1960,213992,
Dec-1960,221653,
Jan-1961,223497,
Feb-1961,204274,
Mar-1961,231596,
Apr-1961,219846,
May-1961,221553,
Jun-1961,213084,
Jul-1961,215699,
Aug-1961,220218,
Sep-1961,209848,
Oct-1961,220942,
Nov-1961,214566,
Dec-1961,226635,
Jan-1962,227756,
Feb-1962,209072,
Mar-1962,228661,
Apr-1962,221737,
May-1962,222969,
Jun-1962,217712,
Jul-1962,224018,
Aug-1962,224240,
Sep-1962,219589,
Oct-1962,228380,
Nov-1962,223231,
Dec-1962,228824,
Jan-1963,226420,
Feb-1963,212437,
Mar-1963,234289,
Apr-1963,228270,
May-1963,234499,
Jun-1963,226853,
Jul-1963,235144,
Aug-1963,236830,
Sep-1963,225207,
Oct-1963,233610,
Nov-1963,226321,
Dec-1963,232843,
Jan-1964,236337,
Feb-1964,222947,
Mar-1964,239068,
Apr-1964,232185,
May-1964,234742,
Jun-1964,226808,
Jul-1964,231648,
Aug-1964,230926,
Sep-1964,225965,
Oct-1964,236304,
Nov-1964,229029,
Dec-1964,240863,
Jan-1965,240946,
Feb-1965,218612,
Mar-1965,243763,
Apr-1965,236844,
May-1965,238253,
Jun-1965,232440,
Jul-1965,237606,
Aug-1965,240180,
Sep-1965,222529,
Oct-1965,244122,
Nov-1965,239635,
Dec-1965,253584,
Jan-1966,249459,
Feb-1966,230733,
Mar-1966,257107,
Apr-1966,248155,
May-1966,258677,
Jun-1966,250391,
Jul-1966,255121,
Aug-1966,255812,
Sep-1966,247632,
Oct-1966,258008,
Nov-1966,252825,
Dec-1966,263843,
Jan-1967,265577,
Feb-1967,241366,
Mar-1967,264854,
Apr-1967,254252,
May-1967,259923,
Jun-1967,256174,
Jul-1967,283776,
Aug-1967,292495,
Sep-1967,272845,
Oct-1967,278997,
Nov-1967,269348,
Dec-1967,276135,
Jan-1968,279868,
Feb-1968,270425,
Mar-1968,288882,
Apr-1968,273690,
May-1968,285355,
Jun-1968,274320,
Jul-1968,283836,
Aug-1968,283154,
Sep-1968,267960,
Oct-1968,276396,
Nov-1968,269070,
Dec-1968,276086,
Jan-1969,275528,
Feb-1969,249984,
Mar-1969,280705,
Apr-1969,277140,
May-1969,290036,
Jun-1969,288935,
Jul-1969,288145,
Aug-1969,281077,
Sep-1969,278850,
Oct-1969,285603,
Nov-1969,280380,
Dec-1969,295368,
Jan-1970,293818,
Feb-1970,267960,
Mar-1970,294748,
Apr-1970,287730,
May-1970,295213,
Jun-1970,280770,
Jul-1970,285274,
Aug-1970,296360,
Sep-1970,295590,
Oct-1970,310403,
Nov-1970,301320,
Dec-1970,308264,
Jan-1971,299305,
Feb-1971,272412,
Mar-1971,302808,
Apr-1971,293070,
May-1971,298995,
Jun-1971,288120,
Jul-1971,293121,
Aug-1971,291741,
Sep-1971,274050,
Oct-1971,284022,
Nov-1971,274170,
Dec-1971,282100,
Jan-1972,282534,
Feb-1972,270744,
Mar-1972,293322,
Apr-1972,285390,
May-1972,298034,
Jun-1972,285660,
Jul-1972,294376,
Aug-1972,293973,
Sep-1972,285240,
Oct-1972,293930,
Nov-1972,282780,
Dec-1972,289385,
Jan-1973,284454,
Feb-1973,263066,
Mar-1973,287430,
Apr-1973,278757,
May-1973,287134,
Jun-1973,276418,
Jul-1973,285731,
Aug-1973,284225,
Sep-1973,271959,
Oct-1973,285940,
Nov-1973,274829,
Dec-1973,280960,
Jan-1974,276950,6.95
Feb-1974,255982,6.87
Mar-1974,277927,6.77
Apr-1974,268619,6.77
May-1974,276228,6.87
Jun-1974,263407,6.85
Jul-1974,272184,6.8
Aug-1974,269665,6.71
Sep-1974,253288,6.7
Oct-1974,266949,6.97
Nov-1974,257064,6.97
Dec-1974,264322,7.09
Jan-1975,262104,7.61
Feb-1975,240552,7.47
Mar-1975,263297,7.57
Apr-1975,253698,7.55
May-1975,259742,7.52
Jun-1975,252624,7.49
Jul-1975,258408,7.75
Aug-1975,255712,7.73
Sep-1975,248389,7.75
Oct-1975,258057,7.83
Nov-1975,248336,7.8
Dec-1975,255860,7.93
Jan-1976,255185,8.63
Feb-1976,238705,7.91
Mar-1976,255198,7.78
Apr-1976,242310,7.86
May-1976,251860,7.89
Jun-1976,242833,8
Jul-1976,251942,8.04
Aug-1976,251429,8.03
Sep-1976,244489,8.39
Oct-1976,249962,8.46
Nov-1976,242388,8.61
Dec-1976,249879,8.62
Jan-1977,243478,8.5
Feb-1977,227890,8.56
Mar-1977,250778,8.45
Apr-1977,244347,8.41
May-1977,250317,8.49
Jun-1977,243058,8.44
Jul-1977,251244,8.47
Aug-1977,257510,8.45
Sep-1977,254392,8.43
Oct-1977,265776,8.72
Nov-1977,257378,8.69
Dec-1977,263097,8.81
Jan-1978,259150,8.71
Feb-1978,234544,8.86
Mar-1978,270324,8.8
Apr-1978,264526,8.82
May-1978,273583,8.81
Jun-1978,264974,9.05
Jul-1978,271442,8.96
Aug-1978,271502,9.05
Sep-1978,264010,9.15
Oct-1978,273420,9.17
Nov-1978,262233,9.2
Dec-1978,268508,9.47
Jan-1979,262716,9.46
Feb-1979,238710,9.69
Mar-1979,266635,9.83
Apr-1979,256593,10.33
May-1979,266631,10.71
Jun-1979,252949,11.7
Jul-1979,259278,13.39
Aug-1979,264981,14
Sep-1979,255693,14.57
Oct-1979,267256,15.06
Nov-1979,262818,15.52
Dec-1979,267050,17
Jan-1980,268940,17.86
Feb-1980,252431,18.86
Mar-1980,269650,19.33
Apr-1980,260541,20.28
May-1980,267684,21.05
Jun-1980,256619,21.52
Jul-1980,264964,22.31
Aug-1980,260841,22.62
Sep-1980,258577,22.59
Oct-1980,264489,23.23
Nov-1980,254852,23.99
Dec-1980,266777,25.83
Jan-1981,264736,28.81
Feb-1981,240914,34.3
Mar-1981,267003,34.59
Apr-1981,256708,33.92
May-1981,263541,32.73
Jun-1981,258859,31.68
Jul-1981,263498,31.1
Aug-1981,266069,31.1
Sep-1981,258120,31.1
Oct-1981,265450,30.98
Nov-1981,257579,30.97
Dec-1981,266147,30.8
Jan-1982,263793,30.8
Feb-1982,243661,29.73
Mar-1982,268687,28.31
Apr-1982,257738,27.64
May-1982,269186,27.66
Jun-1982,259383,28.12
Jul-1982,268398,28.09
Aug-1982,267643,27.99
Sep-1982,261028,27.99
Oct-1982,269745,28.76
Nov-1982,260918,28.74
Dec-1982,266535,28.02
Jan-1983,269604,27.22
Feb-1983,245237,26.41
Mar-1983,269706,26.08
Apr-1983,263269,25.85
May-1983,267575,26.08
Jun-1983,260014,25.98
Jul-1983,267717,25.86
Aug-1983,269053,26.03
Sep-1983,263530,26.08
Oct-1983,271890,26.04
Nov-1983,263111,26.09
Dec-1983,260293,25.88
Jan-1984,274902,25.93
Feb-1984,257357,26.06
Mar-1984,268829,26.05
Apr-1984,265872,25.93
May-1984,277616,26
Jun-1984,265570,26.09
Jul-1984,275432,26.11
Aug-1984,273091,26.02
Sep-1984,269798,25.97
Oct-1984,276075,25.92
Nov-1984,269357,25.44
Dec-1984,275797,25.05
Jan-1985,270926,24.26
Feb-1985,252695,23.64
Mar-1985,281943,23.89
Apr-1985,271299,24.19
May-1985,283093,24.18
Jun-1985,270653,24.07
Jul-1985,277410,24.04
Aug-1985,272881,23.99
Sep-1985,268610,23.96
Oct-1985,278068,24.1
Nov-1985,267059,24.27
Dec-1985,279916,24.51
Jan-1986,283248,23.12
Feb-1986,256855,17.65
Mar-1986,279413,12.62
Apr-1986,265917,10.68
May-1986,273964,10.75
Jun-1986,258700,10.68
Jul-1986,268448,9.25
Aug-1986,259580,9.77
Sep-1986,249843,11.09
Oct-1986,260984,11
Nov-1986,252374,11.05
Dec-1986,258926,11.73
Jan-1987,262888,13.79
Feb-1987,234880,14.51
Mar-1987,262398,14.54
Apr-1987,254945,14.95
May-1987,258426,15.29
Jun-1987,248356,15.95
Jul-1987,255782,16.88
Aug-1987,254508,17.06
Sep-1987,246163,16.25
Oct-1987,259272,15.95
Nov-1987,251915,15.46
Dec-1987,257844,14.27
Jan-1988,255743,13.64
Feb-1988,242848,13.43
Mar-1988,259587,12.96
Apr-1988,248629,13.92
May-1988,255089,14.12
Jun-1988,245102,13.59
Jul-1988,249229,12.38
Aug-1988,250459,12.22
Sep-1988,236847,11.63
Oct-1988,248704,10.62
Nov-1988,240700,10.31
Dec-1988,246189,11.99
Jan-1989,246056,13.8
Feb-1989,218076,14.24
Mar-1989,234822,15.65
Apr-1989,233147,17.04
May-1989,242303,16.76
Jun-1989,228731,16.42
Jul-1989,230766,16.32
Aug-1989,233878,15.01
Sep-1989,226436,15.58
Oct-1989,231036,16.25
Nov-1989,226082,16.3
Dec-1989,227439,17.01
Jan-1990,233931,18.49
Feb-1990,209923,18.16
Mar-1990,230434,16.57
Apr-1990,222215,14.52
May-1990,227179,13.82
Jun-1990,213175,12.79
Jul-1990,222371,14.03
Aug-1990,225886,21.87
Sep-1990,216715,28.46
Oct-1990,233799,30.86
Nov-1990,221598,27.53
Dec-1990,227463,22.63
Jan-1991,232498,19.6
Feb-1991,213836,16.28
Mar-1991,233926,15.13
Apr-1991,225256,16.16
May-1991,229670,16.44
Jun-1991,219610,15.58
Jul-1991,227756,16.36
Aug-1991,226801,16.6
Sep-1991,221029,16.71
Oct-1991,230557,17.72
Nov-1991,219833,17.12
Dec-1991,226267,14.68
Jan-1992,228178,13.99
Feb-1992,214269,14.04
Mar-1992,227798,14.12
Apr-1992,218775,15.36
May-1992,222227,16.38
Jun-1992,215019,17.96
Jul-1992,221064,17.8
Aug-1992,214575,17.07
Sep-1992,210904,17.2
Oct-1992,220898,17.16
Nov-1992,210724,16
Dec-1992,220200,14.94
Jan-1993,215791,14.7
Feb-1993,194393,15.53
Mar-1993,216198,15.94
Apr-1993,206439,16.15
May-1993,212255,16.03
Jun-1993,203842,15.06
Jul-1993,207339,13.83
Aug-1993,209492,13.75
Sep-1993,201347,13.39
Oct-1993,212003,16.27
Nov-1993,207349,15.21
Dec-1993,212585,12.95
Jan-1994,211320,10.49
Feb-1994,189569,10.71
Mar-1994,209114,10.94
Apr-1994,198363,12.31
May-1994,207334,14.02
Jun-1994,198318,14.93
Jul-1994,201527,15.34
Aug-1994,202869,14.5
Sep-1994,198264,13.62
Oct-1994,206398,13.84
Nov-1994,198850,14.14
Dec-1994,209550,13.43
Jan-1995,207148,14
Feb-1995,190245,14.71
Mar-1995,204613,14.68
Apr-1995,198111,15.84
May-1995,205509,15.85
Jun-1995,197359,15.02
Jul-1995,199912,14.01
Aug-1995,199846,14.13
Sep-1995,192484,14.49
Oct-1995,199055,13.68
Nov-1995,197559,14.03
Dec-1995,202428,15.02
Jan-1996,201354,15.43
Feb-1996,190727,15.54
Mar-1996,203715,17.63
Apr-1996,193317,19.58
May-1996,198208,17.94
Jun-1996,193746,16.94
Jul-1996,196471,17.63
Aug-1996,197162,18.29
Sep-1996,194456,19.93
Oct-1996,200907,21.09
Nov-1996,194268,20.2
Dec-1996,201685,21.34
Jan-1997,198466,21.76
Feb-1997,182400,19.38
Mar-1997,200013,17.83
Apr-1997,193239,16.63
May-1997,200702,17.23
Jun-1997,193252,15.88
Jul-1997,198691,15.89
Aug-1997,196769,16.19
Sep-1997,194575,16.41
Oct-1997,200482,17.66
Nov-1997,193778,16.83
Dec-1997,202464,15.04
Jan-1998,202756,13.45
Feb-1998,181321,12.17
Mar-1998,198639,11.15
Apr-1998,194483,11.28
May-1998,196754,11.13
Jun-1998,188018,10
Jul-1998,192026,10.44
Aug-1998,192282,10.2
Sep-1998,173676,11.29
Oct-1998,190420,11.32
Nov-1998,184198,9.64
Dec-1998,187347,8.03
Jan-1999,184864,8.57
Feb-1999,167034,8.6
Mar-1999,182362,10.76
Apr-1999,176616,12.82
May-1999,182122,13.92
Jun-1999,172808,14.39
Jul-1999,179738,16.12
Aug-1999,179187,17.58
Sep-1999,174113,20.03
Oct-1999,184361,19.71
Nov-1999,178811,21.35
Dec-1999,184716,22.55
Jan-2000,179316,23.53
Feb-2000,169703,25.48
Mar-2000,183464,26.19
Apr-2000,175625,23.2
May-2000,181242,25.58
Jun-2000,174686,27.62
Jul-2000,177920,26.81
Aug-2000,179451,27.91
Sep-2000,172731,29.72
Oct-2000,180080,29.65
Nov-2000,174980,30.36
Dec-2000,181508,24.46
Jan-2001,179767,24.64
Feb-2001,161843,25.27
Mar-2001,182290,22.98
Apr-2001,175879,23.39
May-2001,180712,24.06
Jun-2001,172974,23.43
Jul-2001,178208,22.82
Aug-2001,177488,23.08
Sep-2001,171270,22.37
Oct-2001,178129,18.73
Nov-2001,176441,16.4
Dec-2001,182511,15.54
Jan-2002,182076,15.89
Feb-2002,164666,16.93
Mar-2002,182460,20.28
Apr-2002,175333,22.52
May-2002,183057,23.51
Jun-2002,176532,22.59
Jul-2002,178275,23.51
Aug-2002,179670,24.76
Sep-2002,162336,26.08
Oct-2002,166105,25.29
Nov-2002,168706,23.38
Dec-2002,177372,25.29
Jan-2003,178412,28.42
Feb-2003,161920,31.85
Mar-2003,179907,30.1
Apr-2003,171774,25.45
May-2003,175568,24.95
Jun-2003,169772,26.84
Jul-2003,170452,27.52
Aug-2003,172787,27.94
Sep-2003,168270,25.23
Oct-2003,174020,26.53
Nov-2003,166397,27.21
Dec-2003,172715,28.53
Jan-2004,173132,30.35
Feb-2004,161583,31.21
Mar-2004,174115,32.86
Apr-2004,166810,33.2
May-2004,172235,35.73
Jun-2004,162208,34.53
Jul-2004,170011,36.54
Aug-2004,165072,40.1
Sep-2004,152444,40.56
Oct-2004,160270,46.14
Nov-2004,162699,42.85
Dec-2004,170815,38.22
Jan-2005,168831,40.18
Feb-2005,154038,42.19
Mar-2005,173626,47.56
Apr-2005,166885,47.26
May-2005,173491,44.03
Jun-2005,163263,49.83
Jul-2005,162854,53.35
Aug-2005,161153,58.9
Sep-2005,126417,59.64
Oct-2005,141200,56.99
Nov-2005,145708,53.2
Dec-2005,154630,53.24
Jan-2006,156480,57.85
Feb-2006,140894,55.69
Mar-2006,155842,55.64
Apr-2006,152450,62.52
May-2006,159667,64.4
Jun-2006,154884,64.65
Jul-2006,157919,67.71
Aug-2006,156232,67.21
Sep-2006,150926,59.37
Oct-2006,158353,53.26
Nov-2006,151926,52.42
Dec-2006,160768,55.03
Jan-2007,158342,49.32
Feb-2007,143301,52.94
Mar-2007,158697,54.95
Apr-2007,155407,58.2
May-2007,161548,58.9
Jun-2007,152254,62.35
Jul-2007,156175,69.23
Aug-2007,154060,67.77
Sep-2007,147061,73.27
Oct-2007,155680,79.32
Nov-2007,151021,87.16
Dec-2007,158427,85.28
Jan-2008,158566,87.06
Feb-2008,149297,89.41
Mar-2008,160868,98.44
Apr-2008,155403,106.64
May-2008,159437,118.55
Jun-2008,154133,127.47
Jul-2008,160481,128.08
Aug-2008,155092,112.83
Sep-2008,119208,98.5
Oct-2008,146868,73.18
Nov-2008,152343,53.67
Dec-2008,158183,36.8
Jan-2009,159467,35
Feb-2009,146698,34.14
Mar-2009,161776,42.45
Apr-2009,158344,45.19
May-2009,166684,52.67
Jun-2009,158079,63.09
Jul-2009,167336,60.44
Aug-2009,167945,65.28
Sep-2009,166765,65.28
Oct-2009,171258,69.82
Nov-2009,161838,71.99
Dec-2009,169004,70.42
Jan-2010,167529,72.87
Feb-2010,155496,72.74
Mar-2010,170976,75.77
Apr-2010,161769,78.8
May-2010,167427,70.91
Jun-2010,161385,70.77
Jul-2010,164234,71.37
Aug-2010,168867,72.07
Sep-2010,168473,71.23
Oct-2010,174547,76.02
Nov-2010,167272,79.2
Dec-2010,173831,83.98
Jan-2011,170333,85.66
Feb-2011,151299,86.69
Mar-2011,174079,99.19
Apr-2011,166731,108.8
May-2011,174310,102.46
Jun-2011,167639,97.3
Jul-2011,168648,97.82
Aug-2011,175602,89
Sep-2011,168433,90.22
Oct-2011,182933,92.28
Nov-2011,181057,100.18
Dec-2011,187474,98.71
Jan-2012,191313,98.99
Feb-2012,181731,102.04
Mar-2012,196110,105.42
Apr-2012,189726,103.62
May-2012,197413,95.57
Jun-2012,188082,83.59
Jul-2012,199157,86.1
Aug-2012,196822,92.53
Sep-2012,197874,95.98
Oct-2012,215946,92.24
Nov-2012,212300,89.64
Dec-2012,220061,89.81
Jan-2013,219565,95
Feb-2013,200235,95.01
Mar-2013,223382,95.54
Apr-2013,221149,94.41
May-2013,227094,94.75
Jun-2013,218295,93.82
Jul-2013,233254,101.41
Aug-2013,233493,102.96
Sep-2013,235117,102.32
Oct-2013,240487,96.18
Nov-2013,237505,88.7
Dec-2013,245777,91.85
Jan-2014,250255,89.57
Feb-2014,228260,96.86
Mar-2014,257076,96.17
Apr-2014,255638,96.49
May-2014,267954,95.74
Jun-2014,262387,98.68
Jul-2014,274223,96.7
Aug-2014,276506,90.72
Sep-2014,272451,86.87
Oct-2014,287164,78.84
Nov-2014,279662,71.07
Dec-2014,296552,54.86
Jan-2015,291042,43.06
Feb-2015,266272,44.35
Mar-2015,297150,42.66
Apr-2015,289842,49.3
May-2015,293918,54.38
Jun-2015,280849,55.88
